Time,TAvgFluid
0,282.98752
3600,282.98846
7200,282.97858
10800,282.96463
14400,282.953
18000,282.94516
21600,282.93832
25200,282.86633
28800,282.1723
32400,282.19156
36000,282.15823
39600,282.1041
43200,282.07416
46800,282.06564
50400,282.04675
54000,282.03253
57600,282.01706
61200,282.00577
64800,281.9698
68400,281.94608
72000,281.92764
75600,281.96283
79200,281.9517
82800,282.62015
86400,282.6081
90000,282.63104
93600,282.6618
97200,282.68762
100800,282.70767
104400,282.7235
108000,282.73642
111600,282.6907
115200,282.10397
118800,282.13818
122400,282.12363
126000,282.09543
129600,282.09055
133200,282.09573
136800,282.0827
140400,282.07495
144000,282.0684
147600,282.06995
151200,282.01746
154800,282.00485
158400,281.98135
162000,282.01553
165600,282.01
169200,282.6031
172800,282.59305
176400,282.61447
180000,282.64313
183600,282.66766
187200,282.68652
190800,282.70096
194400,282.7116
198000,282.66785
201600,282.09726
205200,282.12656
208800,282.1093
212400,282.07153
216000,282.05005
219600,282.0434
223200,282.00345
226800,281.95557
230400,281.93164
234000,281.9284
237600,281.88647
241200,281.8731
244800,281.84158
248400,281.86224
252000,281.84027
255600,282.54214
259200,282.53085
262800,282.55533
266400,282.5876
270000,282.61536
273600,282.63702
277200,282.65372
280800,282.66705
284400,282.62692
288000,281.9946
291600,282.0199
295200,282.00085
298800,281.9664
302400,281.95047
306000,281.9494
309600,281.93372
313200,281.922
316800,281.90405
320400,281.8896
324000,281.8298
327600,281.81912
331200,281.8023
334800,281.84375
338400,281.83844
342000,282.5085
345600,282.49768
349200,282.52228
352800,282.5548
356400,282.5821
360000,282.6035
363600,282.62057
367200,282.63287
370800,282.61334
374400,281.97726
378000,281.9989
381600,281.98138
385200,281.93866
388800,281.91306
392400,281.8986
396000,281.87753
399600,281.8682
403200,281.85025
406800,281.86716
410400,281.83603
414000,281.83252
417600,281.82608
421200,281.81836
424800,281.80963
428400,282.4829
432000,282.47247
435600,282.49707
439200,282.52792
442800,282.55405
446400,282.5755
450000,282.59338
453600,282.60788
457200,282.5814
460800,281.95358
464400,281.9744
468000,281.9569
471600,281.91763
475200,281.88635
478800,281.88013
482400,281.86792
486000,281.85397
489600,281.84232
493200,281.85544
496800,281.8226
500400,281.81534
504000,281.80533
507600,281.7978
511200,281.78912
514800,282.47183
518400,282.46094
522000,282.48505
525600,282.5152
529200,282.54074
532800,282.56158
536400,282.57797
540000,282.59097
543600,282.52963
547200,281.86346
550800,281.89355
554400,281.8797
558000,281.85147
561600,281.83926
565200,281.8384
568800,281.82697
572400,281.81717
576000,281.80402
579600,281.79306
583200,281.7431
586800,281.73074
590400,281.7117
594000,281.74094
597600,281.7312
601200,282.44284
604800,282.4324
608400,282.45917
612000,282.49384
615600,282.52353
619200,282.54703
622800,282.56573
626400,282.58057
630000,282.5332
633600,281.8758
637200,281.90845
640800,281.89154
644400,281.85428
648000,281.83008
651600,281.82303
655200,281.80542
658800,281.78903
662400,281.7766
666000,281.77448
669600,281.7263
673200,281.7129
676800,281.69687
680400,281.72775
684000,281.71954
687600,282.42923
691200,282.41763
694800,282.44342
698400,282.47772
702000,282.50735
705600,282.53036
709200,282.54852
712800,282.56357
716400,282.5098
720000,281.85562
723600,281.88812
